,MLP
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.873491986647773, 'activation': 'relu', 'hidden_layer_sizes': (196,), 'alpha': 1.5034874610022335, 'max_iter': 130, 'batch_size': 554, 'shuffle': True, 'momentum': 0.30778610178978943, 'nesterovs_momentum': False}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0011186217944005438, 'activation': 'tanh', 'hidden_layer_sizes': (34, 79, 11, 122), 'alpha': 8.592614171904762, 'max_iter': 182, 'batch_size': 471, 'shuffle': False, 'momentum': 0.6810837827987363, 'nesterovs_momentum': False}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.812801443744163, 'activation': 'tanh', 'hidden_layer_sizes': (23, 152), 'alpha': 2.46936712533604, 'max_iter': 420, 'batch_size': 381, 'shuffle': False, 'momentum': 0.41725690006994237, 'nesterovs_momentum': False}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.039289387817479, 'activation': 'logistic', 'hidden_layer_sizes': (58, 91, 40, 19, 57), 'alpha': 3.3316599203859587, 'max_iter': 399, 'batch_size': 327, 'shuffle': False, 'momentum': 0.12463302295907999, 'nesterovs_momentum': True}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.43252589664715, 'activation': 'logistic', 'hidden_layer_sizes': (134,), 'alpha': 8.025540246251026, 'max_iter': 237, 'batch_size': 276, 'shuffle': False, 'momentum': 0.34849177316198227, 'nesterovs_momentum': True}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.33999705587561635, 'activation': 'tanh', 'hidden_layer_sizes': (13, 25, 153, 106, 156), 'alpha': 0.890900301405868, 'max_iter': 197, 'batch_size': 314, 'shuffle': True, 'momentum': 0.14857659381885366, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.074954634629048, 'activation': 'logistic', 'hidden_layer_sizes': (199,), 'alpha': 5.70047454037925, 'max_iter': 413, 'batch_size': 498, 'shuffle': False, 'momentum': 0.21796738834074084, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9291757448865867, 'activation': 'logistic', 'hidden_layer_sizes': (121, 130, 49, 105), 'alpha': 1.5429418130941015, 'max_iter': 116, 'batch_size': 434, 'shuffle': True, 'momentum': 0.36712764504652146, 'nesterovs_momentum': False}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.393147496361021, 'activation': 'logistic', 'hidden_layer_sizes': (91,), 'alpha': 8.31410082950745, 'max_iter': 460, 'batch_size': 105, 'shuffle': False, 'momentum': 0.5707032292744142, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.9378006336686235, 'activation': 'tanh', 'hidden_layer_sizes': (48, 192), 'alpha': 0.8531325229319007, 'max_iter': 38, 'batch_size': 156, 'shuffle': True, 'momentum': 0.3462776475756179, 'nesterovs_momentum': True}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.758852952213206, 'activation': 'logistic', 'hidden_layer_sizes': (119, 6, 128, 135, 17), 'alpha': 7.795750062979429, 'max_iter': 246, 'batch_size': 230, 'shuffle': True, 'momentum': 0.15090105057656722, 'nesterovs_momentum': True}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.1706150181107917, 'activation': 'logistic', 'hidden_layer_sizes': (126, 109), 'alpha': 4.222955487267724, 'max_iter': 296, 'batch_size': 148, 'shuffle': False, 'momentum': 0.059022978608978025, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.271598450317001, 'activation': 'logistic', 'hidden_layer_sizes': (32,), 'alpha': 6.3633139315471, 'max_iter': 308, 'batch_size': 112, 'shuffle': True, 'momentum': 0.9580342037615247, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.324411738588447, 'activation': 'logistic', 'hidden_layer_sizes': (77, 48, 28, 141), 'alpha': 4.3501302113797555, 'max_iter': 500, 'batch_size': 199, 'shuffle': True, 'momentum': 0.12124527018465636, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.45314771431441936, 'activation': 'logistic', 'hidden_layer_sizes': (7,), 'alpha': 9.682187147339114, 'max_iter': 187, 'batch_size': 450, 'shuffle': True, 'momentum': 0.1537642113625249, 'nesterovs_momentum': False}"
