,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
20,"{'stopping_criterion': MaxGen_155, 'population_size': 10, 'layers': 2, 'learning_step': 0.09304902921392363, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_110, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.09041966284290436, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
21,"{'stopping_criterion': MaxGen_136, 'population_size': 10, 'layers': 2, 'learning_step': 0.18543489437177155, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_138, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 0.016364588857862936, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
22,"{'stopping_criterion': MaxGen_134, 'population_size': 10, 'layers': 3, 'learning_step': 0.01733058635952482, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_97, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.05003014686532814, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
23,"{'stopping_criterion': MaxGen_157, 'population_size': 10, 'layers': 1, 'learning_step': 0.11142144390265742, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_35, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 0.6097783517077681, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
24,"{'stopping_criterion': MaxGen_116, 'population_size': 10, 'layers': 4, 'learning_step': 0.6934654436812435, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.32929534366335167}","{'stopping_criterion': MaxGen_151, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.0598382357725673, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
25,"{'stopping_criterion': MaxGen_102, 'population_size': 10, 'layers': 1, 'learning_step': 0.030060395152679276, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.4659854395018798}","{'stopping_criterion': MaxGen_105, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.11603729344342273, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
26,"{'stopping_criterion': MaxGen_149, 'population_size': 10, 'layers': 3, 'learning_step': 0.33124597106310694, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_113, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.07163293430010687, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
27,"{'stopping_criterion': MaxGen_119, 'population_size': 10, 'layers': 1, 'learning_step': 0.10382447854525416, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_96, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.06268845711773931, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
28,"{'stopping_criterion': MaxGen_195, 'population_size': 10, 'layers': 3, 'learning_step': 0.5475920436621053, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.650874081737401}","{'stopping_criterion': MaxGen_112, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 0.007421589317729134, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
29,"{'stopping_criterion': MaxGen_185, 'population_size': 10, 'layers': 1, 'learning_step': 0.06944051151451948, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_125, 'population_size': 10, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.05786784257446501, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
