,MLP
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2862363158160093, 'activation': 'logistic', 'hidden_layer_sizes': (74,), 'alpha': 0.29004409187290714, 'max_iter': 460, 'batch_size': 270, 'shuffle': True, 'momentum': 0.34881855286299607, 'nesterovs_momentum': False}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.009545937171346035, 'activation': 'logistic', 'hidden_layer_sizes': (127, 92), 'alpha': 6.1542800325495595, 'max_iter': 119, 'batch_size': 1187, 'shuffle': False, 'momentum': 0.9796938935695642, 'nesterovs_momentum': True}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1115113585845261, 'activation': 'logistic', 'hidden_layer_sizes': (188, 56), 'alpha': 5.552864139351878, 'max_iter': 468, 'batch_size': 3382, 'shuffle': True, 'momentum': 0.39681674751978235, 'nesterovs_momentum': True}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.23410645884954068, 'activation': 'logistic', 'hidden_layer_sizes': (24,), 'alpha': 8.433031502546157, 'max_iter': 206, 'batch_size': 3456, 'shuffle': False, 'momentum': 0.6548609379043986, 'nesterovs_momentum': False}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5023004382580796, 'activation': 'logistic', 'hidden_layer_sizes': (40, 56), 'alpha': 3.2512936388441664, 'max_iter': 137, 'batch_size': 464, 'shuffle': True, 'momentum': 0.8649285554101398, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1553860604462514, 'activation': 'logistic', 'hidden_layer_sizes': (191,), 'alpha': 2.9164190018486282, 'max_iter': 299, 'batch_size': 183, 'shuffle': False, 'momentum': 0.7593001460309107, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.227914814792382, 'activation': 'logistic', 'hidden_layer_sizes': (24, 48, 65), 'alpha': 7.6448630722609, 'max_iter': 283, 'batch_size': 2859, 'shuffle': True, 'momentum': 0.8275243370776094, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.42455121842850674, 'activation': 'relu', 'hidden_layer_sizes': (70, 82, 76), 'alpha': 8.629724542882785, 'max_iter': 171, 'batch_size': 1702, 'shuffle': False, 'momentum': 0.010805529149636967, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.32957666564251326, 'activation': 'relu', 'hidden_layer_sizes': (66, 139, 53, 91, 77), 'alpha': 7.539052926367324, 'max_iter': 30, 'batch_size': 3209, 'shuffle': False, 'momentum': 0.47570283251656853, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.029064401114538153, 'activation': 'tanh', 'hidden_layer_sizes': (120,), 'alpha': 0.5866798654131313, 'max_iter': 308, 'batch_size': 1867, 'shuffle': False, 'momentum': 0.8367728467535336, 'nesterovs_momentum': True}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.04494118411670271, 'activation': 'tanh', 'hidden_layer_sizes': (185,), 'alpha': 8.525027272416173, 'max_iter': 442, 'batch_size': 2441, 'shuffle': False, 'momentum': 0.8201610347591899, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5482034475880256, 'activation': 'relu', 'hidden_layer_sizes': (87,), 'alpha': 3.6108720701179178, 'max_iter': 80, 'batch_size': 2480, 'shuffle': True, 'momentum': 0.561728754259033, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.549958310527218, 'activation': 'logistic', 'hidden_layer_sizes': (195,), 'alpha': 0.3869756086851105, 'max_iter': 172, 'batch_size': 737, 'shuffle': True, 'momentum': 0.3777727329460271, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.47081453262441464, 'activation': 'logistic', 'hidden_layer_sizes': (112,), 'alpha': 7.140429188440786, 'max_iter': 287, 'batch_size': 1221, 'shuffle': False, 'momentum': 0.5121923688071536, 'nesterovs_momentum': True}"
