,MLP (ADAM),MLP (SGD)
20,"{'solver': 'adam', 'learning_rate_init': 7.580986589164465, 'activation': 'logistic', 'hidden_layer_sizes': (135,), 'alpha': 0.28251736423421203, 'max_iter': 178, 'batch_size': 448, 'shuffle': False, 'beta_1': 0.2555766543128143, 'beta_2': 0.8316601813195448}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5509991510139465, 'activation': 'logistic', 'hidden_layer_sizes': (54, 182, 43, 199, 49), 'alpha': 3.7528664917349523, 'max_iter': 43, 'batch_size': 303, 'shuffle': True, 'momentum': 0.40108453181449955, 'nesterovs_momentum': True}"
21,"{'solver': 'adam', 'learning_rate_init': 8.670596262861691, 'activation': 'relu', 'hidden_layer_sizes': (83,), 'alpha': 0.5857247372816863, 'max_iter': 205, 'batch_size': 159, 'shuffle': True, 'beta_1': 0.7720596008726267, 'beta_2': 0.8982429551233129}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.11906162282575894, 'activation': 'logistic', 'hidden_layer_sizes': (118, 53), 'alpha': 1.368022792370638, 'max_iter': 77, 'batch_size': 252, 'shuffle': True, 'momentum': 0.653866569339499, 'nesterovs_momentum': True}"
22,"{'solver': 'adam', 'learning_rate_init': 0.9640669361798433, 'activation': 'logistic', 'hidden_layer_sizes': (146, 105, 5, 91, 4), 'alpha': 0.8367986410057116, 'max_iter': 182, 'batch_size': 276, 'shuffle': False, 'beta_1': 0.0026181206086614414, 'beta_2': 0.9959228182748514}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8154403759659508, 'activation': 'logistic', 'hidden_layer_sizes': (134, 6, 7, 124), 'alpha': 5.593538081325787, 'max_iter': 495, 'batch_size': 276, 'shuffle': True, 'momentum': 0.4123748646455903, 'nesterovs_momentum': False}"
23,"{'solver': 'adam', 'learning_rate_init': 5.267697923793375, 'activation': 'relu', 'hidden_layer_sizes': (200, 56, 72), 'alpha': 7.935357037629578, 'max_iter': 6, 'batch_size': 128, 'shuffle': False, 'beta_1': 0.24866336656888186, 'beta_2': 0.8131987515937988}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.300887702113462, 'activation': 'tanh', 'hidden_layer_sizes': (153,), 'alpha': 0.4359763852001103, 'max_iter': 403, 'batch_size': 106, 'shuffle': True, 'momentum': 0.03836807276663562, 'nesterovs_momentum': False}"
24,"{'solver': 'adam', 'learning_rate_init': 4.053976785894363, 'activation': 'tanh', 'hidden_layer_sizes': (99, 138, 134, 122, 33), 'alpha': 1.587865369794259, 'max_iter': 261, 'batch_size': 329, 'shuffle': False, 'beta_1': 0.9676097507628286, 'beta_2': 0.9604532387705843}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.15406914256777465, 'activation': 'tanh', 'hidden_layer_sizes': (71, 115, 166, 144), 'alpha': 4.539524355685789, 'max_iter': 49, 'batch_size': 58, 'shuffle': True, 'momentum': 0.368602893875101, 'nesterovs_momentum': False}"
25,"{'solver': 'adam', 'learning_rate_init': 0.18906868270380983, 'activation': 'relu', 'hidden_layer_sizes': (143,), 'alpha': 4.034873559947558, 'max_iter': 132, 'batch_size': 98, 'shuffle': False, 'beta_1': 0.17230799023136395, 'beta_2': 0.9914576417381571}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.11485423209587, 'activation': 'relu', 'hidden_layer_sizes': (119, 168, 69, 38, 1), 'alpha': 9.136588857424456, 'max_iter': 317, 'batch_size': 281, 'shuffle': False, 'momentum': 0.16148680250827546, 'nesterovs_momentum': True}"
26,"{'solver': 'adam', 'learning_rate_init': 3.5655024847596146, 'activation': 'relu', 'hidden_layer_sizes': (82, 10, 66, 109, 190), 'alpha': 7.610090453893016, 'max_iter': 102, 'batch_size': 237, 'shuffle': True, 'beta_1': 0.7027557767797976, 'beta_2': 0.8851474613562759}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.4109842544974067, 'activation': 'logistic', 'hidden_layer_sizes': (104, 10, 156), 'alpha': 9.11845956975351, 'max_iter': 145, 'batch_size': 146, 'shuffle': True, 'momentum': 0.6880965042514274, 'nesterovs_momentum': False}"
27,"{'solver': 'adam', 'learning_rate_init': 5.306291478385693, 'activation': 'tanh', 'hidden_layer_sizes': (158, 154), 'alpha': 5.697291216449757, 'max_iter': 34, 'batch_size': 406, 'shuffle': False, 'beta_1': 0.9991376929171375, 'beta_2': 0.9930088694264506}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.18235268608995495, 'activation': 'tanh', 'hidden_layer_sizes': (182, 87), 'alpha': 8.208206854821645, 'max_iter': 230, 'batch_size': 163, 'shuffle': False, 'momentum': 0.478393225153755, 'nesterovs_momentum': True}"
28,"{'solver': 'adam', 'learning_rate_init': 2.631070367436632, 'activation': 'relu', 'hidden_layer_sizes': (193, 119, 177), 'alpha': 5.376334830174727, 'max_iter': 324, 'batch_size': 342, 'shuffle': False, 'beta_1': 0.377929131152738, 'beta_2': 0.7479341686359663}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.037563998675032, 'activation': 'logistic', 'hidden_layer_sizes': (57, 56, 71), 'alpha': 1.9491885113264746, 'max_iter': 215, 'batch_size': 164, 'shuffle': True, 'momentum': 0.4833517704158074, 'nesterovs_momentum': False}"
29,"{'solver': 'adam', 'learning_rate_init': 0.5874208080285941, 'activation': 'relu', 'hidden_layer_sizes': (193,), 'alpha': 4.429639505992601, 'max_iter': 265, 'batch_size': 394, 'shuffle': True, 'beta_1': 0.2219653167901628, 'beta_2': 0.6949469075829835}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.470094945146895, 'activation': 'logistic', 'hidden_layer_sizes': (130, 144, 90, 146, 60), 'alpha': 4.834800482748627, 'max_iter': 302, 'batch_size': 245, 'shuffle': True, 'momentum': 0.7303094226601616, 'nesterovs_momentum': False}"
