,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
20,"{'stopping_criterion': MaxGen_67, 'population_size': 10, 'layers': 2, 'learning_step': 0.002798665437794189, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_25, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.07179788118821033, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
21,"{'stopping_criterion': MaxGen_46, 'population_size': 10, 'layers': 5, 'learning_step': 0.4050564151366658, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.743531162849596}","{'stopping_criterion': MaxGen_7, 'population_size': 10, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.8233604485459186}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 0.005168421117391198, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
22,"{'stopping_criterion': MaxGen_52, 'population_size': 10, 'layers': 5, 'learning_step': 0.5403047881053519, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.8224297345366722}","{'stopping_criterion': MaxGen_5, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 1.3492936779454647, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
23,"{'stopping_criterion': MaxGen_4, 'population_size': 10, 'layers': 3, 'learning_step': 1.244153401106988, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_15, 'population_size': 10, 'layers': 4, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 0.6609898875678905, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
24,"{'stopping_criterion': MaxGen_191, 'population_size': 10, 'layers': 4, 'learning_step': 1.4801540567608489, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_29, 'population_size': 10, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 0.8226821524093593, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
25,"{'stopping_criterion': MaxGen_19, 'population_size': 10, 'layers': 1, 'learning_step': 0.0298393508718788, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_7, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.36372505909044195}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 0.7205152988359432, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
26,"{'stopping_criterion': MaxGen_176, 'population_size': 10, 'layers': 3, 'learning_step': 0.002304277236941453, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.09715582471108869}","{'stopping_criterion': MaxGen_6, 'population_size': 10, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.09716860435109614, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
27,"{'stopping_criterion': MaxGen_54, 'population_size': 10, 'layers': 1, 'learning_step': 0.015308910610365116, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_21, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 1.9238297572673648, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
28,"{'stopping_criterion': MaxGen_48, 'population_size': 10, 'layers': 3, 'learning_step': 1.1761363300838068, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_17, 'population_size': 10, 'layers': 4, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 1.1898174444360523, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
29,"{'stopping_criterion': MaxGen_20, 'population_size': 10, 'layers': 5, 'learning_step': 0.29774292777336453, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.6784776981913903}","{'stopping_criterion': MaxGen_64, 'population_size': 10, 'layers': 4, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.01066378196750699, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
