,MLP
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6327691025366997, 'activation': 'relu', 'hidden_layer_sizes': (98,), 'alpha': 9.613848001116333, 'max_iter': 124, 'batch_size': 50, 'shuffle': True, 'momentum': 0.09535269762504554, 'nesterovs_momentum': False}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.42810514602152, 'activation': 'logistic', 'hidden_layer_sizes': (64,), 'alpha': 4.300698940382458, 'max_iter': 181, 'batch_size': 566, 'shuffle': False, 'momentum': 0.890866241793184, 'nesterovs_momentum': False}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.643918479670404, 'activation': 'logistic', 'hidden_layer_sizes': (113,), 'alpha': 9.518486763468907, 'max_iter': 182, 'batch_size': 1628, 'shuffle': False, 'momentum': 0.1631412520700934, 'nesterovs_momentum': False}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.615800061656962, 'activation': 'relu', 'hidden_layer_sizes': (127, 116, 6), 'alpha': 2.638748977623892, 'max_iter': 24, 'batch_size': 654, 'shuffle': False, 'momentum': 0.5694969501106857, 'nesterovs_momentum': False}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.039028103936253, 'activation': 'logistic', 'hidden_layer_sizes': (57, 162, 27, 110), 'alpha': 1.451393580847157, 'max_iter': 98, 'batch_size': 1617, 'shuffle': False, 'momentum': 0.9115824052784774, 'nesterovs_momentum': True}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.8636727872271583, 'activation': 'tanh', 'hidden_layer_sizes': (146, 70), 'alpha': 9.895442017487634, 'max_iter': 262, 'batch_size': 1672, 'shuffle': False, 'momentum': 0.059349027525211054, 'nesterovs_momentum': False}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.72149810737294, 'activation': 'logistic', 'hidden_layer_sizes': (14, 23, 197, 106, 193), 'alpha': 0.8934928589697458, 'max_iter': 499, 'batch_size': 748, 'shuffle': True, 'momentum': 0.9072073511686968, 'nesterovs_momentum': True}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.685112742286814, 'activation': 'tanh', 'hidden_layer_sizes': (47, 27), 'alpha': 8.07673556444955, 'max_iter': 160, 'batch_size': 640, 'shuffle': True, 'momentum': 0.25825644433072037, 'nesterovs_momentum': False}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.071836565306336, 'activation': 'tanh', 'hidden_layer_sizes': (153, 11), 'alpha': 3.9030464978664967, 'max_iter': 177, 'batch_size': 1552, 'shuffle': True, 'momentum': 0.4009865429799682, 'nesterovs_momentum': False}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8876836357988511, 'activation': 'tanh', 'hidden_layer_sizes': (180,), 'alpha': 0.39467692289373335, 'max_iter': 116, 'batch_size': 1684, 'shuffle': False, 'momentum': 0.9147109043740526, 'nesterovs_momentum': True}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3299111700286972, 'activation': 'relu', 'hidden_layer_sizes': (66,), 'alpha': 7.32946636248377, 'max_iter': 240, 'batch_size': 60, 'shuffle': False, 'momentum': 0.3711592836485227, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.4126379953669406, 'activation': 'logistic', 'hidden_layer_sizes': (200,), 'alpha': 7.275894332413677, 'max_iter': 198, 'batch_size': 488, 'shuffle': False, 'momentum': 0.6192872160950319, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.4703325876180275, 'activation': 'tanh', 'hidden_layer_sizes': (43, 155, 54, 135, 185), 'alpha': 1.2246493018997133, 'max_iter': 450, 'batch_size': 132, 'shuffle': True, 'momentum': 0.5428575923170612, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.90252903825744, 'activation': 'logistic', 'hidden_layer_sizes': (198, 187, 56, 55), 'alpha': 7.0357169751872215, 'max_iter': 131, 'batch_size': 915, 'shuffle': False, 'momentum': 0.2508342526574076, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.442473061706578, 'activation': 'tanh', 'hidden_layer_sizes': (147, 115, 113, 111), 'alpha': 4.266896685074558, 'max_iter': 339, 'batch_size': 884, 'shuffle': False, 'momentum': 0.7294493691441114, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.717441618296494, 'activation': 'relu', 'hidden_layer_sizes': (33,), 'alpha': 6.085614994668116, 'max_iter': 314, 'batch_size': 1032, 'shuffle': True, 'momentum': 0.15188823293215992, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.11593373268159, 'activation': 'logistic', 'hidden_layer_sizes': (12, 45), 'alpha': 8.911320293297972, 'max_iter': 319, 'batch_size': 599, 'shuffle': False, 'momentum': 0.7766010883395366, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.416459416178304, 'activation': 'logistic', 'hidden_layer_sizes': (11, 65, 58), 'alpha': 1.1356079201109575, 'max_iter': 329, 'batch_size': 1513, 'shuffle': True, 'momentum': 0.7120763286260579, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.825191962959911, 'activation': 'logistic', 'hidden_layer_sizes': (191, 65, 191, 192), 'alpha': 1.7483911520889395, 'max_iter': 225, 'batch_size': 1187, 'shuffle': False, 'momentum': 0.21560888389978988, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.761954925231377, 'activation': 'relu', 'hidden_layer_sizes': (4, 195, 137), 'alpha': 3.001288321864532, 'max_iter': 16, 'batch_size': 1330, 'shuffle': False, 'momentum': 0.3878954323670494, 'nesterovs_momentum': True}"
