,MLP (ADAM),MLP (SGD)
20,"{'solver': 'adam', 'learning_rate_init': 8.50662217315741, 'activation': 'relu', 'hidden_layer_sizes': (41, 77), 'alpha': 7.048821566991881, 'max_iter': 275, 'batch_size': 849, 'shuffle': True, 'beta_1': 0.682837946318392, 'beta_2': 0.8545471508383916}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3299111700286972, 'activation': 'relu', 'hidden_layer_sizes': (66,), 'alpha': 7.32946636248377, 'max_iter': 240, 'batch_size': 60, 'shuffle': False, 'momentum': 0.3711592836485227, 'nesterovs_momentum': True}"
21,"{'solver': 'adam', 'learning_rate_init': 3.9223139244545786, 'activation': 'tanh', 'hidden_layer_sizes': (62, 57), 'alpha': 8.922157998519925, 'max_iter': 398, 'batch_size': 523, 'shuffle': True, 'beta_1': 0.4515838738830949, 'beta_2': 0.5612071104480361}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.4126379953669406, 'activation': 'logistic', 'hidden_layer_sizes': (200,), 'alpha': 7.275894332413677, 'max_iter': 198, 'batch_size': 488, 'shuffle': False, 'momentum': 0.6192872160950319, 'nesterovs_momentum': True}"
22,"{'solver': 'adam', 'learning_rate_init': 6.473353666530957, 'activation': 'tanh', 'hidden_layer_sizes': (194, 80, 151), 'alpha': 5.306953386341925, 'max_iter': 362, 'batch_size': 1560, 'shuffle': False, 'beta_1': 0.9017177099459815, 'beta_2': 0.9552310309325033}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.4703325876180275, 'activation': 'tanh', 'hidden_layer_sizes': (43, 155, 54, 135, 185), 'alpha': 1.2246493018997133, 'max_iter': 450, 'batch_size': 132, 'shuffle': True, 'momentum': 0.5428575923170612, 'nesterovs_momentum': True}"
23,"{'solver': 'adam', 'learning_rate_init': 0.7767886207796386, 'activation': 'relu', 'hidden_layer_sizes': (197, 61, 193, 45), 'alpha': 2.3088414799992805, 'max_iter': 416, 'batch_size': 833, 'shuffle': True, 'beta_1': 0.8161823823141171, 'beta_2': 0.01450707711398017}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.90252903825744, 'activation': 'logistic', 'hidden_layer_sizes': (198, 187, 56, 55), 'alpha': 7.0357169751872215, 'max_iter': 131, 'batch_size': 915, 'shuffle': False, 'momentum': 0.2508342526574076, 'nesterovs_momentum': False}"
24,"{'solver': 'adam', 'learning_rate_init': 5.065085402019735, 'activation': 'tanh', 'hidden_layer_sizes': (27, 123), 'alpha': 1.836401795421288, 'max_iter': 6, 'batch_size': 354, 'shuffle': False, 'beta_1': 0.9237407563734927, 'beta_2': 0.39533987256505765}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.442473061706578, 'activation': 'tanh', 'hidden_layer_sizes': (147, 115, 113, 111), 'alpha': 4.266896685074558, 'max_iter': 339, 'batch_size': 884, 'shuffle': False, 'momentum': 0.7294493691441114, 'nesterovs_momentum': False}"
25,"{'solver': 'adam', 'learning_rate_init': 5.32286083565212, 'activation': 'logistic', 'hidden_layer_sizes': (142, 180, 27, 199), 'alpha': 3.669459857031894, 'max_iter': 494, 'batch_size': 791, 'shuffle': False, 'beta_1': 0.3572179156297514, 'beta_2': 0.7168063156405756}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.717441618296494, 'activation': 'relu', 'hidden_layer_sizes': (33,), 'alpha': 6.085614994668116, 'max_iter': 314, 'batch_size': 1032, 'shuffle': True, 'momentum': 0.15188823293215992, 'nesterovs_momentum': False}"
26,"{'solver': 'adam', 'learning_rate_init': 2.9496345843185767, 'activation': 'relu', 'hidden_layer_sizes': (92, 163, 48, 55, 19), 'alpha': 0.5964068604303061, 'max_iter': 492, 'batch_size': 1438, 'shuffle': False, 'beta_1': 0.34296882502633774, 'beta_2': 0.8930631500510826}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.11593373268159, 'activation': 'logistic', 'hidden_layer_sizes': (12, 45), 'alpha': 8.911320293297972, 'max_iter': 319, 'batch_size': 599, 'shuffle': False, 'momentum': 0.7766010883395366, 'nesterovs_momentum': True}"
27,"{'solver': 'adam', 'learning_rate_init': 9.54235901036158, 'activation': 'tanh', 'hidden_layer_sizes': (55, 116, 68, 113, 160), 'alpha': 5.249457021988347, 'max_iter': 371, 'batch_size': 1523, 'shuffle': True, 'beta_1': 0.7017377198778106, 'beta_2': 0.24318584193570567}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.416459416178304, 'activation': 'logistic', 'hidden_layer_sizes': (11, 65, 58), 'alpha': 1.1356079201109575, 'max_iter': 329, 'batch_size': 1513, 'shuffle': True, 'momentum': 0.7120763286260579, 'nesterovs_momentum': False}"
28,"{'solver': 'adam', 'learning_rate_init': 6.480135123729346, 'activation': 'relu', 'hidden_layer_sizes': (30, 88, 68, 4), 'alpha': 4.4587932179488465, 'max_iter': 37, 'batch_size': 1427, 'shuffle': False, 'beta_1': 0.5680428991359324, 'beta_2': 0.5092635288921888}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.825191962959911, 'activation': 'logistic', 'hidden_layer_sizes': (191, 65, 191, 192), 'alpha': 1.7483911520889395, 'max_iter': 225, 'batch_size': 1187, 'shuffle': False, 'momentum': 0.21560888389978988, 'nesterovs_momentum': True}"
29,"{'solver': 'adam', 'learning_rate_init': 3.9828910934075763, 'activation': 'tanh', 'hidden_layer_sizes': (124, 167, 76), 'alpha': 8.289665885475719, 'max_iter': 89, 'batch_size': 1645, 'shuffle': True, 'beta_1': 0.39554890875061977, 'beta_2': 0.8643220733189803}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.761954925231377, 'activation': 'relu', 'hidden_layer_sizes': (4, 195, 137), 'alpha': 3.001288321864532, 'max_iter': 16, 'batch_size': 1330, 'shuffle': False, 'momentum': 0.3878954323670494, 'nesterovs_momentum': True}"
