,MLP (ADAM),MLP (SGD)
20,"{'solver': 'adam', 'learning_rate_init': 5.490805973299753, 'activation': 'relu', 'hidden_layer_sizes': (140, 88, 133, 198, 149), 'alpha': 9.929934806770644, 'max_iter': 266, 'batch_size': 53, 'shuffle': True, 'beta_1': 0.423727892357794, 'beta_2': 0.19088767271251345}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.523942151340879, 'activation': 'relu', 'hidden_layer_sizes': (60,), 'alpha': 5.731844704316084, 'max_iter': 294, 'batch_size': 52, 'shuffle': False, 'momentum': 0.5944414249299517, 'nesterovs_momentum': True}"
21,"{'solver': 'adam', 'learning_rate_init': 1.9481832741050638, 'activation': 'relu', 'hidden_layer_sizes': (160, 153, 72, 110, 63), 'alpha': 4.730715446653894, 'max_iter': 425, 'batch_size': 243, 'shuffle': True, 'beta_1': 0.38942989732606337, 'beta_2': 0.4533697913496549}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.245401286335312, 'activation': 'relu', 'hidden_layer_sizes': (191, 36, 129, 18), 'alpha': 6.852013280454392, 'max_iter': 170, 'batch_size': 126, 'shuffle': False, 'momentum': 0.09271534384544773, 'nesterovs_momentum': True}"
22,"{'solver': 'adam', 'learning_rate_init': 0.7734418853838051, 'activation': 'tanh', 'hidden_layer_sizes': (164,), 'alpha': 2.881889121966389, 'max_iter': 112, 'batch_size': 255, 'shuffle': True, 'beta_1': 0.9754263141013918, 'beta_2': 0.3531000096414093}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.168590498129214, 'activation': 'logistic', 'hidden_layer_sizes': (112, 38, 62), 'alpha': 0.47386934324369967, 'max_iter': 326, 'batch_size': 233, 'shuffle': False, 'momentum': 0.4359086743228717, 'nesterovs_momentum': False}"
23,"{'solver': 'adam', 'learning_rate_init': 4.997284194139048, 'activation': 'tanh', 'hidden_layer_sizes': (136,), 'alpha': 1.7872761782600384, 'max_iter': 146, 'batch_size': 77, 'shuffle': False, 'beta_1': 0.5779787539158913, 'beta_2': 0.14015823721434711}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6761455805673624, 'activation': 'logistic', 'hidden_layer_sizes': (32, 41), 'alpha': 2.791877216859513, 'max_iter': 343, 'batch_size': 239, 'shuffle': False, 'momentum': 0.919027801254809, 'nesterovs_momentum': True}"
24,"{'solver': 'adam', 'learning_rate_init': 0.7037676212145311, 'activation': 'relu', 'hidden_layer_sizes': (181, 79), 'alpha': 5.69811527671795, 'max_iter': 40, 'batch_size': 183, 'shuffle': True, 'beta_1': 0.9977469555212224, 'beta_2': 0.4027762337743959}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.315761955182863, 'activation': 'relu', 'hidden_layer_sizes': (9, 181, 7), 'alpha': 9.452385635995542, 'max_iter': 209, 'batch_size': 76, 'shuffle': True, 'momentum': 0.4621011818718408, 'nesterovs_momentum': False}"
25,"{'solver': 'adam', 'learning_rate_init': 0.02001073585691467, 'activation': 'tanh', 'hidden_layer_sizes': (185,), 'alpha': 2.590301531681017, 'max_iter': 114, 'batch_size': 236, 'shuffle': False, 'beta_1': 0.5172637474418744, 'beta_2': 0.3922449379662129}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.332327845622892, 'activation': 'relu', 'hidden_layer_sizes': (8, 97, 22, 169), 'alpha': 5.842164567815537, 'max_iter': 343, 'batch_size': 56, 'shuffle': False, 'momentum': 0.7792470492907501, 'nesterovs_momentum': False}"
26,"{'solver': 'adam', 'learning_rate_init': 4.465566391553586, 'activation': 'relu', 'hidden_layer_sizes': (157, 134, 95, 116), 'alpha': 1.5920308550762345, 'max_iter': 424, 'batch_size': 88, 'shuffle': True, 'beta_1': 0.32409034088321936, 'beta_2': 0.5157910852363755}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.7614520774641584, 'activation': 'logistic', 'hidden_layer_sizes': (59, 25, 149, 141, 188), 'alpha': 1.873033725658624, 'max_iter': 404, 'batch_size': 267, 'shuffle': False, 'momentum': 0.12013896689820686, 'nesterovs_momentum': True}"
27,"{'solver': 'adam', 'learning_rate_init': 5.9647578856307195, 'activation': 'relu', 'hidden_layer_sizes': (137,), 'alpha': 7.286774790092282, 'max_iter': 395, 'batch_size': 76, 'shuffle': True, 'beta_1': 0.5318910083807454, 'beta_2': 0.09213078093098555}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8438510579287977, 'activation': 'logistic', 'hidden_layer_sizes': (164, 166, 36, 80), 'alpha': 7.558814707424225, 'max_iter': 189, 'batch_size': 244, 'shuffle': False, 'momentum': 0.09833645784065778, 'nesterovs_momentum': False}"
28,"{'solver': 'adam', 'learning_rate_init': 0.5829427402965911, 'activation': 'tanh', 'hidden_layer_sizes': (23, 153, 66), 'alpha': 8.961986919660504, 'max_iter': 98, 'batch_size': 247, 'shuffle': True, 'beta_1': 0.4115359979755511, 'beta_2': 0.8958465480072673}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9702254714204168, 'activation': 'logistic', 'hidden_layer_sizes': (181, 23), 'alpha': 1.5862424419837375, 'max_iter': 73, 'batch_size': 127, 'shuffle': False, 'momentum': 0.2197902814261702, 'nesterovs_momentum': True}"
29,"{'solver': 'adam', 'learning_rate_init': 4.3190208993020835, 'activation': 'relu', 'hidden_layer_sizes': (8, 21), 'alpha': 9.225870553846013, 'max_iter': 241, 'batch_size': 94, 'shuffle': False, 'beta_1': 0.4861363814173817, 'beta_2': 0.9262769414209728}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3436375382939576, 'activation': 'relu', 'hidden_layer_sizes': (27, 157, 197), 'alpha': 1.3659657362763256, 'max_iter': 367, 'batch_size': 194, 'shuffle': True, 'momentum': 0.5286493592744893, 'nesterovs_momentum': True}"
