,MLP
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.414805675245014, 'activation': 'logistic', 'hidden_layer_sizes': (65, 16, 91), 'alpha': 0.21207115061576304, 'max_iter': 288, 'batch_size': 289, 'shuffle': False, 'momentum': 0.6605577880130389, 'nesterovs_momentum': True}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.2962639766888517, 'activation': 'relu', 'hidden_layer_sizes': (78, 66), 'alpha': 2.611956896279001, 'max_iter': 104, 'batch_size': 210, 'shuffle': True, 'momentum': 0.7793463378637897, 'nesterovs_momentum': True}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.919434105269904, 'activation': 'logistic', 'hidden_layer_sizes': (112,), 'alpha': 2.871578998438796, 'max_iter': 222, 'batch_size': 71, 'shuffle': False, 'momentum': 0.3770432512337219, 'nesterovs_momentum': True}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03956257026497389, 'activation': 'relu', 'hidden_layer_sizes': (69, 183, 26, 192, 30), 'alpha': 9.567608919049547, 'max_iter': 419, 'batch_size': 297, 'shuffle': False, 'momentum': 0.5193966022343142, 'nesterovs_momentum': True}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6174700741922468, 'activation': 'relu', 'hidden_layer_sizes': (179, 139, 5), 'alpha': 7.446241322448028, 'max_iter': 289, 'batch_size': 128, 'shuffle': False, 'momentum': 0.3661791052944366, 'nesterovs_momentum': False}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.9173747906100354, 'activation': 'relu', 'hidden_layer_sizes': (191, 150, 114, 40), 'alpha': 5.332022213213008, 'max_iter': 262, 'batch_size': 189, 'shuffle': True, 'momentum': 0.5733230289544152, 'nesterovs_momentum': False}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.416147983815438, 'activation': 'tanh', 'hidden_layer_sizes': (48,), 'alpha': 7.440798055836567, 'max_iter': 38, 'batch_size': 485, 'shuffle': True, 'momentum': 0.5512833353863753, 'nesterovs_momentum': True}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.694396228315363, 'activation': 'logistic', 'hidden_layer_sizes': (135,), 'alpha': 1.8293746028513524, 'max_iter': 221, 'batch_size': 503, 'shuffle': True, 'momentum': 0.6728731860417932, 'nesterovs_momentum': True}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07867422017304326, 'activation': 'relu', 'hidden_layer_sizes': (112, 86), 'alpha': 2.567199444789608, 'max_iter': 431, 'batch_size': 487, 'shuffle': False, 'momentum': 0.04387372399646086, 'nesterovs_momentum': True}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.379925580379572, 'activation': 'relu', 'hidden_layer_sizes': (96, 179), 'alpha': 2.2019976374386747, 'max_iter': 28, 'batch_size': 508, 'shuffle': False, 'momentum': 0.5142466996487486, 'nesterovs_momentum': False}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.837548029722115, 'activation': 'relu', 'hidden_layer_sizes': (21, 14, 71, 126), 'alpha': 2.0623537386702817, 'max_iter': 94, 'batch_size': 194, 'shuffle': True, 'momentum': 0.9097141385422473, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.544163388527622, 'activation': 'tanh', 'hidden_layer_sizes': (40, 146), 'alpha': 1.8871945722617705, 'max_iter': 101, 'batch_size': 70, 'shuffle': True, 'momentum': 0.36887707196405883, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5960794019549845, 'activation': 'logistic', 'hidden_layer_sizes': (52, 139), 'alpha': 2.467880296693593, 'max_iter': 396, 'batch_size': 130, 'shuffle': False, 'momentum': 0.5118766816371405, 'nesterovs_momentum': False}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.237048681368385, 'activation': 'logistic', 'hidden_layer_sizes': (142,), 'alpha': 1.9997892177562764, 'max_iter': 63, 'batch_size': 449, 'shuffle': True, 'momentum': 0.16915391724506132, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0688276903269982, 'activation': 'logistic', 'hidden_layer_sizes': (184,), 'alpha': 8.087032454034448, 'max_iter': 242, 'batch_size': 69, 'shuffle': True, 'momentum': 0.025333964172534966, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.18518126351676, 'activation': 'relu', 'hidden_layer_sizes': (104, 159), 'alpha': 0.1510168165936519, 'max_iter': 475, 'batch_size': 260, 'shuffle': True, 'momentum': 0.652932400566748, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.116232727695343, 'activation': 'tanh', 'hidden_layer_sizes': (182, 105, 103, 33), 'alpha': 7.170924943241153, 'max_iter': 121, 'batch_size': 314, 'shuffle': True, 'momentum': 0.649515148425349, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.225678396928541, 'activation': 'logistic', 'hidden_layer_sizes': (56, 85), 'alpha': 0.6626191484877245, 'max_iter': 373, 'batch_size': 235, 'shuffle': False, 'momentum': 0.827804276805049, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.421188876570439, 'activation': 'relu', 'hidden_layer_sizes': (141, 149), 'alpha': 5.15039165418926, 'max_iter': 487, 'batch_size': 229, 'shuffle': True, 'momentum': 0.6143713397712399, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.23005420454234, 'activation': 'relu', 'hidden_layer_sizes': (95,), 'alpha': 5.3757826604226215, 'max_iter': 76, 'batch_size': 375, 'shuffle': False, 'momentum': 0.9578817835760625, 'nesterovs_momentum': False}"
