,MLP (ADAM),MLP (SGD)
20,"{'solver': 'adam', 'learning_rate_init': 7.4566335929712535, 'activation': 'logistic', 'hidden_layer_sizes': (77, 12, 186), 'alpha': 9.075864939831845, 'max_iter': 208, 'batch_size': 505, 'shuffle': True, 'beta_1': 0.3196046468484512, 'beta_2': 0.10859310729181479}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3049836548302862, 'activation': 'logistic', 'hidden_layer_sizes': (22, 177, 146, 99), 'alpha': 5.530986310133064, 'max_iter': 438, 'batch_size': 781, 'shuffle': True, 'momentum': 0.9409811260270703, 'nesterovs_momentum': True}"
21,"{'solver': 'adam', 'learning_rate_init': 4.955588247883528, 'activation': 'tanh', 'hidden_layer_sizes': (166, 16, 25, 107), 'alpha': 2.961949243126361, 'max_iter': 49, 'batch_size': 569, 'shuffle': True, 'beta_1': 0.2893478200295715, 'beta_2': 0.36259694661907793}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.577680710713637, 'activation': 'logistic', 'hidden_layer_sizes': (6, 166, 63, 87), 'alpha': 2.8337080236308823, 'max_iter': 335, 'batch_size': 435, 'shuffle': False, 'momentum': 0.5811887644268525, 'nesterovs_momentum': True}"
22,"{'solver': 'adam', 'learning_rate_init': 0.01693202318774679, 'activation': 'logistic', 'hidden_layer_sizes': (133, 98, 118, 30), 'alpha': 5.643029052372764, 'max_iter': 386, 'batch_size': 902, 'shuffle': True, 'beta_1': 0.6854072594455873, 'beta_2': 0.15661059079327103}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.347336143165176, 'activation': 'relu', 'hidden_layer_sizes': (121, 130, 64, 57, 7), 'alpha': 0.28114105747650564, 'max_iter': 348, 'batch_size': 153, 'shuffle': True, 'momentum': 0.7462871701962346, 'nesterovs_momentum': True}"
23,"{'solver': 'adam', 'learning_rate_init': 5.77029400597476, 'activation': 'tanh', 'hidden_layer_sizes': (109, 166, 189, 122), 'alpha': 4.333695348702413, 'max_iter': 497, 'batch_size': 240, 'shuffle': True, 'beta_1': 0.7960721194513433, 'beta_2': 0.686175561182068}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.990776848260712, 'activation': 'tanh', 'hidden_layer_sizes': (86,), 'alpha': 8.016390512912453, 'max_iter': 33, 'batch_size': 452, 'shuffle': True, 'momentum': 0.10045054561846951, 'nesterovs_momentum': False}"
24,"{'solver': 'adam', 'learning_rate_init': 7.741851050210316, 'activation': 'relu', 'hidden_layer_sizes': (96,), 'alpha': 5.212918854498039, 'max_iter': 118, 'batch_size': 916, 'shuffle': True, 'beta_1': 0.5563351781325964, 'beta_2': 0.7547655176122343}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.68245227744917, 'activation': 'logistic', 'hidden_layer_sizes': (180, 132), 'alpha': 4.7374521825732865, 'max_iter': 38, 'batch_size': 1166, 'shuffle': True, 'momentum': 0.41955548358567185, 'nesterovs_momentum': True}"
25,"{'solver': 'adam', 'learning_rate_init': 0.15700235342493898, 'activation': 'logistic', 'hidden_layer_sizes': (132, 10, 8, 161), 'alpha': 2.233958054321153, 'max_iter': 149, 'batch_size': 895, 'shuffle': True, 'beta_1': 0.7876803797050442, 'beta_2': 0.6224890395811317}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.9288813148508597, 'activation': 'tanh', 'hidden_layer_sizes': (21, 146, 103, 182), 'alpha': 5.712924930041999, 'max_iter': 140, 'batch_size': 584, 'shuffle': False, 'momentum': 0.3579576344578039, 'nesterovs_momentum': False}"
26,"{'solver': 'adam', 'learning_rate_init': 4.262617901574252, 'activation': 'tanh', 'hidden_layer_sizes': (146, 125, 11, 125, 30), 'alpha': 2.5933797100998266, 'max_iter': 339, 'batch_size': 646, 'shuffle': True, 'beta_1': 0.9684194357545116, 'beta_2': 0.9242231222404088}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2284348740028228, 'activation': 'tanh', 'hidden_layer_sizes': (114, 160, 104, 119, 183), 'alpha': 2.564845804816739, 'max_iter': 217, 'batch_size': 705, 'shuffle': True, 'momentum': 0.2532635932417875, 'nesterovs_momentum': False}"
27,"{'solver': 'adam', 'learning_rate_init': 5.73578403057023, 'activation': 'relu', 'hidden_layer_sizes': (40,), 'alpha': 6.652635298972352, 'max_iter': 365, 'batch_size': 1417, 'shuffle': False, 'beta_1': 0.25861664034502263, 'beta_2': 0.07685359521474905}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.749276078651319, 'activation': 'relu', 'hidden_layer_sizes': (20,), 'alpha': 2.269263792499368, 'max_iter': 177, 'batch_size': 307, 'shuffle': True, 'momentum': 0.8307900724300152, 'nesterovs_momentum': True}"
28,"{'solver': 'adam', 'learning_rate_init': 4.5717080370150365, 'activation': 'logistic', 'hidden_layer_sizes': (140, 158, 128, 12, 27), 'alpha': 8.834010912627809, 'max_iter': 201, 'batch_size': 614, 'shuffle': True, 'beta_1': 0.7226392006538322, 'beta_2': 0.3445881825359536}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.388716400389563, 'activation': 'tanh', 'hidden_layer_sizes': (90, 164, 84), 'alpha': 9.468621017610825, 'max_iter': 494, 'batch_size': 162, 'shuffle': True, 'momentum': 0.9562077551123438, 'nesterovs_momentum': True}"
29,"{'solver': 'adam', 'learning_rate_init': 1.9048799279201827, 'activation': 'relu', 'hidden_layer_sizes': (91,), 'alpha': 6.282512414136012, 'max_iter': 356, 'batch_size': 1022, 'shuffle': True, 'beta_1': 0.3195111710041322, 'beta_2': 0.8985972193880128}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.18930629526046608, 'activation': 'tanh', 'hidden_layer_sizes': (167, 146, 62), 'alpha': 4.5858956070368295, 'max_iter': 338, 'batch_size': 887, 'shuffle': False, 'momentum': 0.28343672173541273, 'nesterovs_momentum': False}"
