,MLP (LBFGS),MLP (ADAM),MLP (SGD)
20,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (136, 197), 'alpha': 2.1738044598819153, 'max_iter': 445}","{'solver': 'adam', 'learning_rate_init': 0.0761647807556947, 'activation': 'relu', 'hidden_layer_sizes': (28,), 'alpha': 1.4262823267244529, 'max_iter': 99, 'batch_size': 702, 'shuffle': True, 'beta_1': 0.07622679454707076, 'beta_2': 0.9827960347499008}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5693487705957797, 'activation': 'tanh', 'hidden_layer_sizes': (152, 169, 98, 183, 127), 'alpha': 4.50598982386573, 'max_iter': 784, 'batch_size': 557, 'shuffle': False, 'momentum': 0.36118741988703645, 'nesterovs_momentum': False}"
21,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (114,), 'alpha': 3.533037343238357, 'max_iter': 686}","{'solver': 'adam', 'learning_rate_init': 0.0013695004555202923, 'activation': 'tanh', 'hidden_layer_sizes': (3, 115, 14), 'alpha': 4.212722606150471, 'max_iter': 496, 'batch_size': 505, 'shuffle': True, 'beta_1': 0.26156310995464765, 'beta_2': 0.9319393298200798}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6236192557842195, 'activation': 'tanh', 'hidden_layer_sizes': (82,), 'alpha': 3.7455939866684056, 'max_iter': 847, 'batch_size': 687, 'shuffle': False, 'momentum': 0.5898690700334638, 'nesterovs_momentum': False}"
22,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (69,), 'alpha': 0.1387057294272097, 'max_iter': 3}","{'solver': 'adam', 'learning_rate_init': 0.0031463248453213045, 'activation': 'logistic', 'hidden_layer_sizes': (171, 47), 'alpha': 0, 'max_iter': 454, 'batch_size': 696, 'shuffle': False, 'beta_1': 0.12031315369189748, 'beta_2': 0.351651605618762}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.883006434962892, 'activation': 'tanh', 'hidden_layer_sizes': (153,), 'alpha': 3.8615701619807394, 'max_iter': 832, 'batch_size': 305, 'shuffle': True, 'momentum': 0.4995263321618725, 'nesterovs_momentum': True}"
23,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (6, 97, 160), 'alpha': 0, 'max_iter': 151}","{'solver': 'adam', 'learning_rate_init': 0.7703221568433662, 'activation': 'logistic', 'hidden_layer_sizes': (169,), 'alpha': 0, 'max_iter': 339, 'batch_size': 90, 'shuffle': True, 'beta_1': 0.5996658116422094, 'beta_2': 0.5020329546180592}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0966027631024821, 'activation': 'tanh', 'hidden_layer_sizes': (72, 18), 'alpha': 3.598819511356036, 'max_iter': 33, 'batch_size': 676, 'shuffle': True, 'momentum': 0.9111078851705403, 'nesterovs_momentum': False}"
24,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (85, 163), 'alpha': 4.714933265765658, 'max_iter': 181}","{'solver': 'adam', 'learning_rate_init': 0.026194314237142, 'activation': 'logistic', 'hidden_layer_sizes': (79, 30, 161, 187), 'alpha': 0, 'max_iter': 651, 'batch_size': 650, 'shuffle': False, 'beta_1': 0.4524441519695192, 'beta_2': 0.671059121843716}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5793111581612936, 'activation': 'relu', 'hidden_layer_sizes': (128, 36, 173), 'alpha': 4.153587420880276, 'max_iter': 386, 'batch_size': 187, 'shuffle': True, 'momentum': 0.2118193678124894, 'nesterovs_momentum': True}"
25,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (146,), 'alpha': 4.063363363719627, 'max_iter': 118}","{'solver': 'adam', 'learning_rate_init': 0.019594657502943643, 'activation': 'relu', 'hidden_layer_sizes': (133, 170), 'alpha': 4.003366817945674, 'max_iter': 949, 'batch_size': 331, 'shuffle': True, 'beta_1': 0.11585990760522383, 'beta_2': 0.469487461326179}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8189188738165492, 'activation': 'tanh', 'hidden_layer_sizes': (12,), 'alpha': 1.23847511100292, 'max_iter': 874, 'batch_size': 112, 'shuffle': True, 'momentum': 0.39142209343933926, 'nesterovs_momentum': False}"
26,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (125,), 'alpha': 2.9550740744192847, 'max_iter': 396}","{'solver': 'adam', 'learning_rate_init': 0.01159705302516782, 'activation': 'relu', 'hidden_layer_sizes': (184,), 'alpha': 1.836992023885426, 'max_iter': 324, 'batch_size': 225, 'shuffle': True, 'beta_1': 0.41220823323299793, 'beta_2': 0.25192756610855693}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.21044300090642146, 'activation': 'tanh', 'hidden_layer_sizes': (73, 63, 190, 187, 115), 'alpha': 3.624424828364388, 'max_iter': 382, 'batch_size': 421, 'shuffle': True, 'momentum': 0.5541209836248043, 'nesterovs_momentum': False}"
27,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (149, 156), 'alpha': 4.0904331581446405, 'max_iter': 46}","{'solver': 'adam', 'learning_rate_init': 0.06881763941010645, 'activation': 'relu', 'hidden_layer_sizes': (76,), 'alpha': 4.661253361635208, 'max_iter': 81, 'batch_size': 672, 'shuffle': False, 'beta_1': 0.5792635299080084, 'beta_2': 0.04076004896026043}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.42259489619051493, 'activation': 'logistic', 'hidden_layer_sizes': (24,), 'alpha': 0, 'max_iter': 713, 'batch_size': 647, 'shuffle': False, 'momentum': 0.7298155158447364, 'nesterovs_momentum': True}"
28,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (165,), 'alpha': 2.7333274973514587, 'max_iter': 67}","{'solver': 'adam', 'learning_rate_init': 0.053668302664648476, 'activation': 'tanh', 'hidden_layer_sizes': (35, 38), 'alpha': 4.498692414084525, 'max_iter': 14, 'batch_size': 731, 'shuffle': True, 'beta_1': 0.18185364805148813, 'beta_2': 0.9784135944503559}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.04072415699178231, 'activation': 'logistic', 'hidden_layer_sizes': (28,), 'alpha': 4.268628700417127, 'max_iter': 729, 'batch_size': 367, 'shuffle': True, 'momentum': 0.6642201868734143, 'nesterovs_momentum': False}"
29,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (15,), 'alpha': 1.7330678994897228, 'max_iter': 773}","{'solver': 'adam', 'learning_rate_init': 0.10986762621006539, 'activation': 'relu', 'hidden_layer_sizes': (90, 112, 115), 'alpha': 0, 'max_iter': 161, 'batch_size': 388, 'shuffle': False, 'beta_1': 0.14053601954003128, 'beta_2': 0.49469775848937664}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2139343459767868, 'activation': 'tanh', 'hidden_layer_sizes': (5,), 'alpha': 3.286883107513019, 'max_iter': 290, 'batch_size': 509, 'shuffle': False, 'momentum': 0.9176133423758794, 'nesterovs_momentum': True}"
