,MLP
14,"{'solver': 'adam', 'learning_rate_init': 0.8429523818090299, 'activation': 'logistic', 'hidden_layer_sizes': (33,), 'alpha': 2.023731021165068, 'max_iter': 544, 'batch_size': 556, 'shuffle': False, 'beta_1': 0.6919155613835584, 'beta_2': 0.9348409394667782}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5013234478336877, 'activation': 'relu', 'hidden_layer_sizes': (35, 87, 163, 86), 'alpha': 3.5396155688664823, 'max_iter': 581, 'batch_size': 179, 'shuffle': False, 'momentum': 0.17060718462922217, 'nesterovs_momentum': False}"
16,"{'solver': 'lbfgs', 'activation': 'relu', 'hidden_layer_sizes': (7, 77), 'alpha': 2.1755607441609706, 'max_iter': 255}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.221998684689537, 'activation': 'tanh', 'hidden_layer_sizes': (68,), 'alpha': 1.167854218838301, 'max_iter': 450, 'batch_size': 333, 'shuffle': False, 'momentum': 0.0780486831527561, 'nesterovs_momentum': True}"
18,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (53,), 'alpha': 1.002307863029662, 'max_iter': 896}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3556380793955718, 'activation': 'tanh', 'hidden_layer_sizes': (136,), 'alpha': 0, 'max_iter': 249, 'batch_size': 676, 'shuffle': False, 'momentum': 0.2524915514244173, 'nesterovs_momentum': False}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5693487705957797, 'activation': 'tanh', 'hidden_layer_sizes': (152, 169, 98, 183, 127), 'alpha': 4.50598982386573, 'max_iter': 784, 'batch_size': 557, 'shuffle': False, 'momentum': 0.36118741988703645, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6236192557842195, 'activation': 'tanh', 'hidden_layer_sizes': (82,), 'alpha': 3.7455939866684056, 'max_iter': 847, 'batch_size': 687, 'shuffle': False, 'momentum': 0.5898690700334638, 'nesterovs_momentum': False}"
22,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (69,), 'alpha': 0.1387057294272097, 'max_iter': 3}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0966027631024821, 'activation': 'tanh', 'hidden_layer_sizes': (72, 18), 'alpha': 3.598819511356036, 'max_iter': 33, 'batch_size': 676, 'shuffle': True, 'momentum': 0.9111078851705403, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5793111581612936, 'activation': 'relu', 'hidden_layer_sizes': (128, 36, 173), 'alpha': 4.153587420880276, 'max_iter': 386, 'batch_size': 187, 'shuffle': True, 'momentum': 0.2118193678124894, 'nesterovs_momentum': True}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8189188738165492, 'activation': 'tanh', 'hidden_layer_sizes': (12,), 'alpha': 1.23847511100292, 'max_iter': 874, 'batch_size': 112, 'shuffle': True, 'momentum': 0.39142209343933926, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.21044300090642146, 'activation': 'tanh', 'hidden_layer_sizes': (73, 63, 190, 187, 115), 'alpha': 3.624424828364388, 'max_iter': 382, 'batch_size': 421, 'shuffle': True, 'momentum': 0.5541209836248043, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.42259489619051493, 'activation': 'logistic', 'hidden_layer_sizes': (24,), 'alpha': 0, 'max_iter': 713, 'batch_size': 647, 'shuffle': False, 'momentum': 0.7298155158447364, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.04072415699178231, 'activation': 'logistic', 'hidden_layer_sizes': (28,), 'alpha': 4.268628700417127, 'max_iter': 729, 'batch_size': 367, 'shuffle': True, 'momentum': 0.6642201868734143, 'nesterovs_momentum': False}"
29,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (15,), 'alpha': 1.7330678994897228, 'max_iter': 773}"
