,MLP (ADAM),MLP (SGD)
20,"{'solver': 'adam', 'learning_rate_init': 7.269873992062252, 'activation': 'relu', 'hidden_layer_sizes': (130, 20), 'alpha': 1.0197030100872082, 'max_iter': 36, 'batch_size': 50, 'shuffle': False, 'beta_1': 0.33628583723895217, 'beta_2': 0.12947437029708878}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.73493240705571, 'activation': 'logistic', 'hidden_layer_sizes': (177, 140), 'alpha': 0.5724114790483932, 'max_iter': 194, 'batch_size': 51, 'shuffle': True, 'momentum': 0.05327041987378547, 'nesterovs_momentum': False}"
21,"{'solver': 'adam', 'learning_rate_init': 5.2954128195238725, 'activation': 'relu', 'hidden_layer_sizes': (75,), 'alpha': 5.732239107318512, 'max_iter': 429, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.2092575415895781, 'beta_2': 0.608581565766206}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.08492953610772251, 'activation': 'tanh', 'hidden_layer_sizes': (134, 150, 121, 180, 135), 'alpha': 9.721764171336902, 'max_iter': 404, 'batch_size': 51, 'shuffle': False, 'momentum': 0.5393840493445545, 'nesterovs_momentum': False}"
22,"{'solver': 'adam', 'learning_rate_init': 7.600699023564996, 'activation': 'relu', 'hidden_layer_sizes': (161,), 'alpha': 0.9160025811917546, 'max_iter': 38, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.3273796599246822, 'beta_2': 0.10415024960022397}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.14058031368466917, 'activation': 'logistic', 'hidden_layer_sizes': (178,), 'alpha': 4.98058009799938, 'max_iter': 171, 'batch_size': 50, 'shuffle': True, 'momentum': 0.6304002135898964, 'nesterovs_momentum': True}"
23,"{'solver': 'adam', 'learning_rate_init': 7.392139083591093, 'activation': 'relu', 'hidden_layer_sizes': (160,), 'alpha': 6.653165501553165, 'max_iter': 417, 'batch_size': 52, 'shuffle': True, 'beta_1': 0.7001140803514557, 'beta_2': 0.42659176373784635}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.00188037591781, 'activation': 'tanh', 'hidden_layer_sizes': (163, 107, 2, 120), 'alpha': 4.969746505017246, 'max_iter': 248, 'batch_size': 50, 'shuffle': False, 'momentum': 0.12904357039694736, 'nesterovs_momentum': True}"
24,"{'solver': 'adam', 'learning_rate_init': 8.162867285621585, 'activation': 'relu', 'hidden_layer_sizes': (193,), 'alpha': 7.292519145116056, 'max_iter': 412, 'batch_size': 51, 'shuffle': True, 'beta_1': 0.40838057866162014, 'beta_2': 0.25621366302754994}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3898156751809863, 'activation': 'logistic', 'hidden_layer_sizes': (98,), 'alpha': 8.072545621663958, 'max_iter': 338, 'batch_size': 51, 'shuffle': False, 'momentum': 0.9718922034670067, 'nesterovs_momentum': False}"
25,"{'solver': 'adam', 'learning_rate_init': 0.6165509744043433, 'activation': 'relu', 'hidden_layer_sizes': (82, 127, 159), 'alpha': 3.6639286699429685, 'max_iter': 387, 'batch_size': 51, 'shuffle': True, 'beta_1': 0.9903175288893307, 'beta_2': 0.6572083004993868}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4460063486911143, 'activation': 'logistic', 'hidden_layer_sizes': (142, 47), 'alpha': 3.617215085876273, 'max_iter': 325, 'batch_size': 52, 'shuffle': True, 'momentum': 0.7937046368982241, 'nesterovs_momentum': False}"
26,"{'solver': 'adam', 'learning_rate_init': 7.319463549230876, 'activation': 'relu', 'hidden_layer_sizes': (38,), 'alpha': 1.124117236511633, 'max_iter': 155, 'batch_size': 51, 'shuffle': True, 'beta_1': 0.8175931301056379, 'beta_2': 0.6073279882175551}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4582640896363896, 'activation': 'tanh', 'hidden_layer_sizes': (148, 95), 'alpha': 6.309230765192014, 'max_iter': 429, 'batch_size': 51, 'shuffle': True, 'momentum': 0.11687672152571119, 'nesterovs_momentum': False}"
27,"{'solver': 'adam', 'learning_rate_init': 2.373352602863879, 'activation': 'relu', 'hidden_layer_sizes': (114, 89), 'alpha': 1.3690591153947986, 'max_iter': 291, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.813788250313968, 'beta_2': 0.7389801011687762}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.240783644152191, 'activation': 'tanh', 'hidden_layer_sizes': (131, 82, 150), 'alpha': 1.5690432346551222, 'max_iter': 367, 'batch_size': 52, 'shuffle': False, 'momentum': 0.4537551421788516, 'nesterovs_momentum': True}"
28,"{'solver': 'adam', 'learning_rate_init': 4.820350652364993, 'activation': 'relu', 'hidden_layer_sizes': (169,), 'alpha': 4.50084788936645, 'max_iter': 281, 'batch_size': 52, 'shuffle': True, 'beta_1': 0.5308412401997992, 'beta_2': 0.939100333647791}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.000925958630129, 'activation': 'tanh', 'hidden_layer_sizes': (56, 56), 'alpha': 4.742623915439042, 'max_iter': 116, 'batch_size': 51, 'shuffle': False, 'momentum': 0.8274025121929387, 'nesterovs_momentum': False}"
29,"{'solver': 'adam', 'learning_rate_init': 2.1884567119858414, 'activation': 'tanh', 'hidden_layer_sizes': (99, 53), 'alpha': 8.249329166422559, 'max_iter': 316, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.34529685200572574, 'beta_2': 0.5557084901439289}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.218437123457897, 'activation': 'logistic', 'hidden_layer_sizes': (64, 169, 76), 'alpha': 7.8997005770745075, 'max_iter': 318, 'batch_size': 50, 'shuffle': True, 'momentum': 0.8766233457649795, 'nesterovs_momentum': False}"
